No,Title,Content
037,"§484. None but attorneys to practice in the state.
","No natural person shall ask or receive, directly or indirectly, compensation for appearing for a person other than himself as attorney in any court or before any magistrate, or for preparing deeds, mortgages, assignments, discharges, leases or any other instruments affecting real estate, wills, codicils, or any other instrument affecting the disposition of property after death, or decedents? estates, or pleadings of any kind in any action brought before any court of record in this state, or make it a business to practice for another as an attorney in any court or before any magistrate unless he has been regularly admitted to practice, as an attorney or counselor, in the courts of record in the state; but nothing in this section shall apply:

1. to officers of societies for the prevention of cruelty, duly appointed, when exercising the special powers conferred upon such corporations under §1403 of the Not-for-Profit Corporation Law; or

2. to law students who have completed at least 2 semesters of law school or persons who have graduated from a law school, who have taken the examination for admittance to practice law in the courts of record in the state immediately available after graduation from law school, or the examination immediately available after being notified by the board of law examiners that they failed to pass said exam, and who have not been notified by the board of law examiners that they have failed to pass two such examinations, acting under the supervision of a legal aid organization, when such students and persons are acting under a program approved by the appellate division of the supreme court of the department in which the principal office of such organization is located and specifying the extent to which such students and persons may engage in activities prohibited by this statute; or

3. to persons who have graduated from a law school approved pursuant to the rules of the court of appeals for the admission of attorneys and counselors-at-law and who have taken the examination for admission to practice as an attorney and counselor-at-law immediately available after graduation from law school or the examination immediately available after being notified by the board of law examiners that they failed to pass said exam, and who have not been notified by the board of law examiners that they have failed to pass two such examinations, when such persons are acting under the supervision of the state or a subdivision thereof or of any officer or agency of the state or a subdivision thereof, pursuant to a program approved by the appellate division of the supreme court of the department within which such activities are taking place and specifying the extent to which they may engage in activities otherwise prohibited by this statute and those powers of the supervising governmental entity or officer in connection with which they may engage in such activities."
038,"§485. Violation of certain preceding sections a misdemeanor.
","Any person violating the provisions of §§478, 479, 480, 481, 482, 483 or 484, shall be guilty of a misdemeanor.

## 关键要点

1. **违规构成刑事犯罪** - 违反特定条款构成轻罪(misdemeanor)
2. **刑事责任** - 不仅是民事或行政处分，还可能刑事起诉
3. **明确的违法行为** - 法律列明哪些违规行为构成犯罪
4. **威慑作用** - 通过刑事责任威慑违规行为

## 对公证员的实践影响

**理解刑事责任的严重性**:

**轻罪(Misdemeanor)的后果**:
- 最高1年监禁
- 罚款
- 犯罪记录
- 永久取消公证员资格
- 影响未来就业、移民身份等

**哪些违规构成犯罪**（根据相关条款）:

**1. §485涉及的行为**:
- 违反公证法的特定条款
- 具体行为参见Executive Law §130-143
- 不是所有违规都是犯罪，但某些严重违规是

**2. 其他刑事条款**:
- §175.40 (Issuing a false certificate) - 签发虚假证书
- Perjury laws - 伪证相关
- §330 (Malfeasance) - 严重失职
- Fraud - 欺诈行为

**严重到构成犯罪的违规**:

**明知故犯的行为**:
- ✗ 明知签署人未出现仍公证（伪造公证）
- ✗ 故意签发虚假证书
- ✗ 与他人串通欺诈
- ✗ 伪造notary签名或印章

**vs. 技术性错误**（通常不构成犯罪）:
- 印章日期错误
- 忘记记录在日志中
- 证书格式小错误

**关键区别**：**意图(intent)**

**实践场景**:

**场景1 - 刑事犯罪**:
公证员赵先生应朋友要求，在朋友未出现的情况下，公证了朋友的房产契约。

**分析**:
- ✗ 明知违反""亲自出现""要求
- ✗ 故意签发虚假公证证书
- ✗ 构成§175.40 (False certificate)
- ✗ 可能还构成欺诈共犯
**后果**: 刑事起诉、监禁、罚款、永久取消资格

**场景2 - 非刑事违规**:
公证员李女士匆忙中忘记在公证日志中记录一次公证。

**分析**:
- ✓ 违反记录要求（行政违规）
- ✓ 但没有欺诈意图
- ✓ 没有造成实际损害
**后果**: 可能受到Secretary of State警告或罚款，但通常不是刑事

**如何避免刑事责任**:

**1. 永不故意违规**:
- 即使客户恳求、雇主施压
- 即使是""小事""、""帮忙""
- 一次就可能毁掉职业生涯

**2. 理解""明知故犯""的危险**:
- ""我不知道""可能是抗辩（如果是诚实错误）
- ""我知道但...""没有抗辩

**3. 受压时的应对**:
- 客户:""只是一次，帮帮忙""
- 你:""这不是帮忙，这是犯罪。我不会冒坐牢的风险""

**重要提醒**:
- 刑事责任不可轻视
- 轻罪记录终身影响
- 没有""小的""刑事违规
- 当诱惑来临，想想监狱
- 保持职业操守，远离刑事风险

**参见**:
- Lesson 049 (§175.40 False certificate) - 虚假证书罪
- Lesson 052 (Perjury) - 伪证罪
- Lesson 030 (§330 Malfeasance) - 失职责任
- Lesson 001 (Professional Conduct) - 职业操守"
039,§750. Power of courts to punish for criminal contempts.,"*** B. *** the supreme court has power under this section to punish for a criminal contempt any person who unlawfully practices or assumes to practice law; and a proceeding under this subdivision may be instituted on the court?s own motion or on the motion of any officer charged with the duty of investigating or prosecuting unlawful practice of law, or by any bar association incorporated under the laws of this State.



## 关键要点

1. **法庭藐视罪** - 法院有权处罚藐视法庭的行为
2. **刑事藐视** - Criminal contempt是可被监禁的罪行
3. **公证员可能涉及** - 公证员的某些行为可能构成藐视法庭
4. **即时处罚权** - 法院可以即时判决藐视罪，无需陪审团
5. **严重后果** - 罚款和监禁

## 对公证员的实践影响

**公证员如何可能构成藐视法庭**:

**情景1 - 虚假宣誓证词**:
法院要求公证员就某次公证作证。公证员提供虚假证词或伪造公证记录。

**后果**:
- 构成perjury（伪证）
- 可能被判criminal contempt
- 监禁和罚款
- 永久取消公证资格

**情景2 - 拒绝遵守法院命令**:
法院命令公证员提交公证日志或记录。公证员拒绝或销毁记录。

**后果**:
- 构成obstruction of justice（妨碍司法）
- Criminal contempt
- 可被即时监禁直至遵守命令

**情景3 - 干扰法院程序**:
公证员在法庭上公证文件时，违反法庭规则或干扰程序。

**后果**:
- Civil or criminal contempt
- 被驱逐出法庭
- 可能罚款

**理解Contempt of Court的权力**:

**法院的特殊权力**:
- 可以**即时判决**（summary judgment）
- 不需要陪审团审判
- 法官单独决定
- 立即执行（可当庭关押）

**为什么这么严厉**:
法院必须维护其权威和程序的完整性。藐视法庭破坏整个司法系统。

**实践建议**:

**1. 保持完整记录**:
- 你的公证日志可能被法院传唤
- 完整、准确的记录是你的保护
- 永远不要销毁或篡改记录

**2. 诚实作证**:
- 如被要求就公证行为作证，完全诚实
- ""我不记得""比虚假陈述好
- 如有疑问，查看公证日志

**3. 遵守法院命令**:
- 法院要求提供记录时，立即遵守
- 不要以""隐私""或""保密""为由拒绝（法院命令超越）
- 如有合法疑虑，请律师协助，但不要简单拒绝

**4. 法庭礼仪**:
- 如在法庭中公证，遵守所有法庭规则
- 尊重法官和法庭程序
- 不要与法官争辩

**场景 - 正确应对**:

法院传唤你就3年前的一次公证作证。你不太记得了。

**正确做法**:
1. 查找公证日志中的记录
2. 如实陈述：""根据我的日志，我在[日期]为[姓名]公证了[文件]""
3. 对不记得的细节：""我的日志记录了基本信息，但我不记得具体细节""
4. 绝不编造细节

**错误做法**:
❌ ""我记得很清楚...""（3年后不可能记得每个细节，法官会怀疑）
❌ ""我拒绝提供日志，这是保密的""（蔑视法庭）
❌ 篡改日志以""更清楚""（犯罪）

**重要提醒**:
- 法院的权力是绝对的在其管辖范围内
- Contempt of court可即时监禁
- 维护完整的公证记录是最好的保护
- 与法院合作，诚实作证
- 如有法律问题，咨询律师，但最终必须遵守法院命令

**参见**:
- Lesson 052 (Perjury) - 伪证罪
- Lesson 038 (§485 Misdemeanor) - 刑事责任
- Lesson 001 (Professional Conduct) - 记录保存的重要性"
040,"Illegal practice of law by notary public.
","To make it a business to practice as an attorney at law, not being a lawyer, is a crime. ?Counsel and advice, the drawing of agreements, the organization of corporations and preparing papers connected therewith, the drafting of legal documents of all kinds, including wills, are activities which have been long classed as law practice.? (People v. Alfani, 227 NY 334, 339.)



## 关键要点

1. **禁止从事法律业务** - 公证员不得从事法律业务（除非是律师）
2. **明确的禁止行为** - 法律列明哪些行为构成非法从事法律业务
3. **严重后果** - 监禁、罚款、吊销执照
4. **保护公众** - 防止不具资格的人提供法律服务
5. **律师例外** - 律师身份的公证员可以从事法律业务

## 对公证员的实践影响

**绝对禁止的行为**（详见Lesson 001）:

**1. 不得提供法律建议**:
❌ ""你应该用LLC还是Corporation""
❌ ""这个合同条款对你有利""
❌ ""你应该起诉""
❌ ""这个遗嘱是否有效""

✓ ""我不能提供法律建议。请咨询律师。""

**2. 不得起草法律文件**:
禁止起草的文件包括：
- ❌ 遗嘱(wills)
- ❌ 契约(deeds)
- ❌ 买卖合同(bills of sale)
- ❌ 抵押文件(mortgages)
- ❌ 租赁协议(leases)
- ❌ 授权书(powers of attorney)
- ❌ 诉讼文件(legal pleadings)
- ❌ 公司文件(incorporation papers)
- ❌ 任何""法律文件""

✓ 可以公证这些文件的签名
✗ 不能起草或修改内容

**3. 不得招揽法律业务**:
❌ 收集案件推荐给合作律师并收取费用
❌ 与律师分成法律业务收入
❌ 广告提供""法律服务""

**4. 不得虚假宣传**:
❌ 广告暗示有比notary更多的权力
❌ 使用误导性外语术语如""Notario""
❌ 称自己为""legal consultant""或类似

**为什么这些禁止如此重要**:

**保护公众**:
- 法律事务复杂，需要专业训练
- 不当建议可能导致重大损失
- 公众依赖专业人员的资格

**保护法律职业**:
- 律师经过法学院、bar exam
- 受律师协会监管
- 有专业责任保险
- Notary不具备这些资格

**实践场景**:

**场景1 - 边界情况**:
客户：""这份Power of Attorney表格，我应该在哪里签字？""

**分析**:
- ✓ 指示签字位置：可以（事实性指导）
- ✗ 解释POA的法律后果：不可以（法律建议）
- ✓ ""请律师解释这个文件的法律含义""

**场景2 - 诱惑情境**:
客户：""我只需要一个简单的遗嘱，你能帮我写吗？我付$100。""

**正确应对**:
""对不起，我不能起草遗嘱。那是律师的工作。我可以：
- ✓ 推荐你去找律师
- ✓ 在律师起草后，公证你的签名
- ✗ 但我不能起草内容，即使是'简单的'""

**场景3 - 移民文件陷阱**（常见！）:
客户（西班牙语）：""我需要帮助填写移民表格。""

**危险**:
- 许多移民以为""Notario""可以帮助移民事务
- 填写移民表格=法律建议和代理
- 这是**非法从事法律业务**

**正确应对**:
""我是notary public，不是'notario'（解释区别）。
我不能：
- ❌ 填写移民表格
- ❌ 提供移民法律建议
- ❌ 代理移民案件

我可以：
- ✓ 公证你的签名
- ✓ 推荐你找移民律师或BIA认证的代理人""

**后果的严重性**:

如果被发现非法从事法律业务：

**刑事后果**:
- 可能构成重罪或轻罪
- 监禁（最高数年）
- 罚款（数千美元）

**民事后果**:
- 客户可以起诉索赔损失
- 你的""法律服务""合同无效，但仍承担责任

**职业后果**:
- 立即吊销notary执照
- 永久禁止再任命

**声誉后果**:
- 犯罪记录
- 社区信任丧失

**律师例外**:

如果你同时是：
- Licensed attorney in New York
- AND notary public

那么你可以：
- ✓ 从事法律业务
- ✓ 起草法律文件
- ✓ 提供法律建议
- ✓ 并为自己起草的文件公证

但仍然：
- ❌ 不能为自己有利益的文件公证
- ❌ 必须遵守律师职业道德规范

**重要提醒**:
- 这是公证员最常见的严重违规之一
- 特别是在移民社区
- 客户可能不理解差别，但法律不原谅
- 当诱惑出现（金钱、帮助朋友），想想后果
- 划清界限，坚守底线

**如何应对客户的法律问题**:
1. 礼貌但坚定地拒绝
2. 解释你的局限
3. 推荐合格的律师
4. 提供你能做的服务（公证）
5. 不要因为客户失望而妥协

**参见**:
- Lesson 001 (Professional Conduct) - 禁止行为详细列表
- Lesson 016 (§135-b Advertising) - 虚假广告
- Lesson 032 (Special Note) - 外语术语误导
- Lesson 020 (§138 Powers) - 公证员权力的界限"
041,Wills.,"The execution of wills under the supervision of a notary public acting in effect as a lawyer, ?cannot be too strongly condemned, not only for the reason that it means an invasion of the legal profession, but for the fact that testators thereby run the risk of frustrating their own solemnly declared intentions and rendering worthless maturely considered plans for the disposition of estates whose creation may have been the fruit of lives of industry and self-denial.? (Matter of Flynn, 142 Misc. 7.)

## 关键要点
- 公证员可以公证遗嘱的签名
- 但acknowledgment不等同于遗嘱的attestation clause
- 遗嘱有特殊的见证要求
- 公证员应了解界限

## 注意事项
❌ 不要认为公证=遗嘱生效
✓ 遗嘱需要符合特定法律要求
✓ 建议客户咨询遗产律师
✓ 公证只是确认签名，不验证遗嘱有效性"
042,Public Officers Law,"Notary must not act before taking and filing oath of office.
The Public Officers Law (§15) provides that a person who executes any of the functions of a public office without having taken and duly filed the required oath of office, as prescribed by law, is guilty of a misdemeanor. A notary public is a public officer.

## 关键要点
- Public Officers Law适用于所有公职人员包括公证员
- 规定公职人员的权力、职责、限制
- 违反可能导致刑事或民事责任

## 对公证员的影响
- 受Public Officers Law约束
- 享有公职人员的法律保护（有限）
- 必须遵守公职人员的职业道德标准
- 参见Lesson 036详细讨论"
043,"§67. Fees of public officers.
","
1. Each public officer upon whom a duty is expressly imposed by law, must execute the same without fee or reward, except where a fee or other compensation therefor is expressly allowed by law.

2. An officer or other person, to whom a fee or other compensation is allowed by law, for any service, shall not charge or receive a greater fee or reward, for that service, than is so allowed.

3. An officer, or other person, shall not demand or receive any fee or compensation, allowed to him by law for any service, unless the service was actually rendered by him; except that an officer may demand in advance his fee, where he is, by law, expressly directed or permitted to require payment thereof, before rendering the service.

4. *** An officer or other person, who violates either of the provisions contained in this section, is liable, in addition to the punishment prescribed by law for the criminal offense, to an action in behalf of the person aggrieved, in which the plaintiff is entitled to treble damages.

A notary public subjects himself to criminal prosecution, civil suit and possible removal by asking or receiving more than the statutory allowance, for administering the ordinary oath in connect with an affidavit. (Op. Atty. Gen. (1917) 12 St. Dept. Rep. 507.)"
044,"§69. Fee for administering certain official oaths prohibited.
","An officer is not entitled to a fee, for administering the oath of office to a member of the legislature, to any military officer, to an inspector of election, clerk of the poll, or to any other public officer or public employee.

## 关键要点
- 管理某些官方宣誓禁止收费
- 特定情况下公证员不得收取费用
- 违反可能导致处罚

## 不得收费的情况
1. 某些官方宣誓（法律明确规定）
2. 政府官员履行职务时的宣誓
3. 其他法律规定的免费宣誓

## 注意事项
- 明确了解哪些宣誓不能收费
- 一般商业公证仍可按§136收费
- 疑问时查阅法律或咨询Secretary of State"
045,"Executive Law
","Misconduct by a notary and removal from office.
A notary public who, in the performance of the duties of such office shall practice any fraud or deceit, is guilty of a misdemeanor (Executive Law, §135-a), and may be removed from office. The notary may be removed from office if the notary made a misstatement of a material fact in his application for appointment; for preparing and taking an oath of an affiant to a statement that the notary knew to be false or fraudulent.

## 关键要点
- Executive Law包含公证员的主要法律规定
- §130-143是公证员的核心法律
- 规定任命、权力、职责、处罚

## 对公证员的影响
- Executive Law是公证员的""主要法律""
- 必须熟悉§130-143的全部内容
- 本课程的大部分内容来自Executive Law
- 违反可能导致免职、罚款、刑事责任"
046,"§70.00 Sentence of imprisonment for felony.
","2. Maximum term of sentence.
The maximum term of an indeterminate sentence shall be at least three years and the term shall be fixed as follows:
(d) For a class D felony, the term shall be fixed by the court, and shall not exceed 7 years; and
(e) For a class E felony, the term shall be fixed by the court, and shall not exceed 4 years.



## 关键要点
- 重罪(felony)的监禁刑罚规定
- 公证员的某些严重违规可能构成重罪
- 刑期根据重罪等级而定

## 可能导致重罪的公证违规
- 伪造公证签名或印章
- 大规模欺诈性公证
- 与重大犯罪同谋
- 其他严重刑事行为

## 刑罚严重性
- Class A felony: 最高终身监禁
- Class B-E felony: 数年至数十年监禁
- 永久犯罪记录
- 参见Lesson 038, 049关于公证员刑事责任"
047,"§70.15 Sentences of imprisonment for misdemeanors and violation.
","1. Class A misdemeanor. A sentence of imprisonment for a class A misdemeanor shall be a definite sentence. When such a sentence is imposed the term shall be fixed by the court, and shall not exceed one year; ***



## 关键要点
- 轻罪(misdemeanor)的监禁刑罚规定
- 许多公证违规构成轻罪
- 最高1年监禁

## 常见导致轻罪的违规
- §175.40签发虚假证书
- 某些违反§485的行为
- 非法从事法律业务（某些情况）
- 其他故意违规行为

## 刑罚
- 最高1年县监狱
- 罚款
- 缓刑
- 参见Lesson 038, 049"
048,"§170.10 Forgery in the second degree.
","A person is guilty of forgery in the second degree when, with intent to defraud, deceive or injure another, he falsely makes, completes or alters a written instrument which is or purports to be, or which is calculated to become or to represent if completed:

1. A deed, will, codicil, contract, assignment, commercial instrument, or other instrument which does or may evidence, create, transfer, terminate or otherwise affect a legal right, interest, obligation or status; or

2. A public record, or an instrument filed or required or authorized by law to be filed in or with a public office or public servant; or

3. A written instrument officially issued or created by a public office, public servant or governmental instrumentality.

Forgery in the second degree is a class D felony."
049,"§175.40 Issuing a false certificate.
","A person is guilty of issuing a false certificate when, being a public servant authorized by law to make or issue official certificates or other official written instruments, and with intent to defraud, deceive or injure another person, he issues such an instrument, or makes the same with intent that it be issued, knowing that it contains a false statement or false information.

Issuing a false certificate is a class E felony.



## 关键要点
- 签发虚假证书是刑事犯罪
- 明知是虚假仍签发=犯罪
- Class A misdemeanor，最高1年监禁

## 何为""虚假证书""
- 签署人未亲自出现
- 身份未正确核实
- 公证日期或地点虚假
- 证书内容不真实

## 如何避免
✓ 始终要求亲自出现
✓ 严格核实身份
✓ 准确填写所有信息
❌ 永不""帮忙""补签证书
❌ 永不倒填日期"
050,"§195.00 Official misconduct.
","A public servant is guilty of official misconduct when, with intent to obtain a benefit or to injure or deprive another person of a benefit:

1. He commits an act relating to his office but constituting an unauthorized exercise of his official functions, knowing that such act is unauthorized; or

2. He knowingly refrains from performing a duty which is imposed upon him by law or is clearly inherent in the nature of his office.

"
051,"Notary must officiate on request.

","The Penal Law (§195.00) provides that an officer before whom an oath or affidavit may be taken is bound to administer the same when requested, and a refusal to do so is a misdemeanor. (People v. Brooks, 1 Den. 457.)

## 关键要点
- 公证员有义务应请求提供公证服务
- 在合理范围内不得拒绝
- 但有正当理由可以拒绝

## 可以拒绝的情况
✓ 利益冲突
✓ 无法核实身份
✓ 怀疑欺诈
✓ 签署人无行为能力
✓ 非营业时间/地点

## 不能拒绝的情况
❌ 种族/性别/宗教歧视
❌ 仅因客户态度不佳
❌ 单纯不想做"
052,"Perjury.

","One is guilty of perjury if he has stated or given testimony on a material matter, under oath or by affirmation, as to the truth thereof, when he knew the statement or testimony to be false and willfully made.

## 关键要点
- 伪证罪(perjury)是严重犯罪
- 在宣誓后故意作虚假陈述
- 公证员管理宣誓，相关伪证案件可能涉及

## 公证员的责任
- 确保宣誓的人理解其严肃性
- 使用适当的宣誓语言
- 解释伪证的后果
- 但不判断陈述真实性

## 标准宣誓词
""Do you solemnly swear that the contents of this affidavit subscribed by you is correct and true?"""
053,"§182.1 Advertising

","(a) A notary public who is not an attorney licensed to practice law in the State of New York shall not falsely advertise that he or she is an attorney licensed to practice law in the State of New York or in any jurisdiction of the United States by using foreign terms including, but not limited to: abogado, mandatario, procuratore, """""""""""""", """", and avoca.

(b) A notary public who is not an attorney licensed to practice law in the State of New York and who advertises his or her services as a notary public in a language other than English shall include in the advertisement the following disclaimer:
""I am not an attorney licensed to practice law and may not give legal advice about immigration or any other legal matter or accept fees for legal advice.""
The disclaimer shall be printed clearly and conspicuously and shall be made in the same language as the advertisement. The translated disclaimer, in some but not all languages, is as follows:

Simplified Chinese
"""""""""""""""""","""""""""""","""""""""""""""""""""""""""""""""""""""""""",""""""""""""""""""""""""""

Traditional Chinese
"""""""""""""""""""","""""""""""""""","""""""""""""""""""""""""""""""""""""""""""""",""""""""""""""""""""

Spanish
""No estoy facultado para ejercer la profesión de abogado y no puedo brindar asesoría legal sobre inmigración o ningún otro asunto legal como tampoco puedo cobrar honorarios por la asesoría legal.""

Korean
"""" """" """""" "" """" """""" """" """""""" """""", """""""" """" """" """""" """""" """" """""" """""" """" """""""" """" "" """""""" """" """""""" """""" """" "" """""" """""""""""".

Haitian Creole
MWEN PA AVOKA KI GEN LISANS POU PRATIKE LWA E MWEN PA KA BAY KONSÈY LEGAL SOU ZAFÈ IMIGRASYON OSWA NENPÒT KI LÒT ZAFÈ LEGAL OSWA AKSEPTE LAJEN POU BAY KONSÈY LEGAL.

## 关键要点（§182.1 Advertising）
- 电子公证的广告规定
- 必须如实陈述服务范围
- 不得虚假或误导性广告
- 违反可能吊销电子公证资格

## 广告要求
✓ 清楚说明是电子公证
✓ 列明服务的州/地区
✓ 包含必要的免责声明
❌ 不得暗示不具备的权力
❌ 不得使用误导性外语术语"
054,"§182.2 Definitions
","(a) ""Notary Public"" or ""Notary"" means an individual who meets the qualifications set forth in section 130 of the Executive Law and has been appointed by the secretary of state pursuant to section 131 of the Executive Law to perform notarial acts in accordance with procedures outlined in article 6 of the Executive Law and this Part.

(b) ""Electronic notary public"" or ""electronic notary"" means a notary public or notary who has registered with the secretary of state the capability of performing electronic notarial acts in accordance with section 135-c of the Executive Law and this Part.

(c) ""Notarial act"" means any official act that a notary public is authorized to perform by law, including, but not limited to:

(1) administering oaths and affirmations;

(2) taking affidavits and depositions;

(3) receiving and certifying acknowledgments or proof of such written instruments as deeds, mortgages, powers of attorney and other instruments in writing;

(4) demanding acceptance or payment of foreign and inland bills of exchange, promissory notes and obligations in writing, and protesting the same for non-acceptance or non-payment, as the case may require;

(5) preparation of a certificate of authenticity in accordance with paragraph (d) of subdivision six of section 135-c of the Executive Law or

(6) an electronic notarial act.

(d) ""Electronic notarial act"" means an official act by a notary public, physically present in the state of New York, on or involving an electronic record and using communication technology authorized by this Part.

(e) ""Record"" means information that is inscribed on a tangible medium or stored in an electronic or other medium and is retrievable in perceivable form. The term ""record"" includes an electronic record.

(f) ""Electronic record"" means information that is created, generated, sent, communicated, received, or stored by electronic means.

(g) ""Identity verification"" means the use of an authentication process by which a notary public validates the identity of any principal and/or individual present for a notarial act.

(h) ""Credential analysis"" means a process or service operating according to the standards adopted in this Part, through which a third-party affirms the validity of government-issued identification through review of public and proprietary data sources.

(i) ""Credential service provider"" means a third party trusted entity that issues or registers subscriber authenticators and issues electronic credentials to subscribers.

(j) ""Identity proofing"" means a process by which a credential service provider collects, validates, and verifies information about a person.

(k) ""Personal appearance"" means presence at a transaction for which a notarial act is required, either physically or electronically, in a manner that meets all requirements imposed by this Part.

(l) ""Communication technology"" means an electronic device or process that:

(1) allows a notary public and a remotely located individual to communicate with each other simultaneously by sight and sound; and

(2) when necessary and consistent with other applicable law, facilitates communication with a remotely located individual who has a vision, hearing, or speech impairment.

(m) ""Electronic signature"" has the same meaning set forth in subdivision 3 of section 302 of the State Technology Law, except that any electronic signature affixed by an electronic notary in the performance of an electronic notarial act must also meet the additional requirements outlined in this Part.

(n) ""Public key infrastructure"" means the architecture, organization, techniques, practices, and procedures that collectively support the implementation and operation of a certificate-based asymmetric or public/private key cryptographic system.

(o) ""Public/private key or asymmetric cryptographic system"" means a system by which two mathematically linked keys are generated, one a publicly available validation key and the other a private key that cannot be deduced from the public key.

(p) ""Principal"" means an individual:

(1) whose signature is reflected on a record that is notarized;

(2) who has taken an oath or affirmation administered by a notary public;

(3) whose signature is reflected on a record that is notarized after the individual has taken an oath or affirmation administered by a notary public; or

(4) for purposes of this Part, any individual who intends to engage in any of these acts.

## 关键定义（§182.2）
本节定义电子公证的关键术语：
- Electronic notarization（电子公证）
- Electronic signature（电子签名）
- Electronic notarial certificate（电子公证证书）
- Remote electronic notarization（远程电子公证）
- Identity proofing（身份证明）
- Credential analysis（凭证分析）

## 重要性
- 理解这些定义对电子公证至关重要
- 定义决定了电子公证的范围和要求
- 参见Lesson 017 (§135-c Electronic notarization)"
055,"§182.3 Requirements for Notaries
","(a) All notaries public who wish to perform notarial acts in New York State, must:

(1) satisfy the requirements of sections 130 and 131 of the Executive Law;

(2) obtain satisfactory evidence of the identity of any principal or other individual appearing before the notary in a manner authorized by this Part;

(3) require the personal appearance of all parties to any transaction for which a notarial act is required for the duration of any such transaction, except acts performed as authorized and in conformity with this Part and section 135-c of Executive Law unless a law expressly excludes such authorization;

(4) administer any oath or affirmation as required by the law governing the transaction for which the notarial act is required and, regardless of the county of qualification, include and affix to each instrument requiring an oath or affirmation such notary public?s official number;

(5) disqualify themselves from performing notarial acts for transactions in which the notary is a party or directly and pecuniarily interested in the transaction;

(6) refuse to perform a notarial act when the requirements of this Part are not met, or if the notary is not satisfied that the official record or the presented record evidences the individual?s capacity to act as the representative on the record presented for notarization;

(7) maintain records as required by this Part; and

(8) within five days after a change of name, address, or e-mail address, transmit to the secretary of state a notice of the change, signed with the notary public's official signature.

(b) A notary may refuse to perform a notarial act if the notary public is not satisfied that:

(1) the principal is competent or has the capacity to execute a record; and/or

(2) the principal?s signature is knowingly and voluntarily made.

## 关键要求（§182.3）
电子公证员必须满足：
1. 是有效的纽约州notary public
2. 注册为电子公证员
3. 完成必要的培训
4. 使用符合要求的技术
5. 保持电子记录
6. 遵守所有安全要求

## 额外责任
- 保护电子签名和印章
- 维护电子日志
- 确保技术合规
- 定期更新系统"
056,"§182.4 Additional Requirements for Electronic Notaries
","(a) In addition to the requirements set forth in section 182.3 of this Part, all notaries public who wish to perform electronic notarial acts in New York State must:

(1) register the capability to notarize electronically with the secretary of state in compliance with this Part;
(2) use only those vendors or providers who comply with the standards outlined in this Part and any communication or reporting relating to those standards as required by the secretary of state;
(3) be physically located within the boundaries of New York when performing electronic notarial acts;
(4) use a network that permits location detection when performing an electronic notarial act, meaning that no action, process or device shall be used to disguise or hide the actual location from which the electronic notary is performing the electronic notarial act, and that no function on any system or device used by an electronic notary that permits location detection shall be disabled or otherwise interfered with during the performance of an electronic notarial act;
(5) affix a reliable electronic signature to electronic records. An electronic signature is reliable if it is:
(i) unique to the notary public;
(ii) attached or logically associated with an electronic record by use of a digital certificate that utilizes public key infrastructure as defined in this Part and is capable of independent verification;
(iii) retained under the notary's sole control; and
(iv) linked to the data in such a manner that any subsequent alterations to the underlying record are detectable and may invalidate the electronic notarial act;
(6) use their designated electronic signature only for the purpose of performing electronic notarial acts or as otherwise specified in this Part;
(7) ensure the remote online notarial certificate for an electronic notarial act clearly states that the person making the acknowledgement or making the oath appeared using communication technology;
(8) for execution of any instrument in writing, if under applicable law the record may be signed with an electronic signature, confirm that such instrument is the same instrument in which the principal made a statement or on which the principal executed a signature;
(9) if the principal is located outside of the United States, verify, through verbal confirmation made by the principal in the course of the recorded electronic notarial act, that the record or subject of the notarial act:
(i) is to be filed with or relates to a matter before a public official or court, governmental entity, or other entity subject to the jurisdiction of the United States; or
(ii) involves property located in the territorial jurisdiction of the United States or involves a transaction substantially connected with the United States;
(10) In complying with paragraph (8) of subdivision (a) of section 182.3 of this Part ensure that the notice of change is electronically transmitted to the secretary of state, signed with the notary public's designated electronic signature;
(11) for any update to the information required to be submitted by a notary public to register the capability to perform an electronic notarial act, make such update prior to performance of any electronic notarial act; and

(b) The notary public shall not disclose any access information used to affix the electronic notary?s signature and seal except when requested by the secretary of state or a designee, or judicial subpoena, and with reasonable precautions, electronic document preparation and transmission vendors. Control of security aspects such as but not limited to passwords, token devices, biometrics, PINS, phrases, software on protected hardware shall remain under the sole control of the notary public.

## 额外要求（§182.4）
电子公证的特殊要求：
1. 多因素身份验证
2. 实时音视频通信
3. 记录公证过程
4. 安全的证书附加
5. 防篡改技术

## 技术标准
- 符合州规定的技术规范
- 使用认证的平台/软件
- 确保通信安全加密
- 保存至少10年记录"
